2021:01:22:10:03:03.681000,1611306183.681,$GPHDT,51.33,T*31
2021:01:22:10:03:04.181000,1611306184.181,$GPHDT,51.30,T*32
2021:01:22:10:03:05.182000,1611306185.182,$GPHDT,51.27,T*34
2021:01:22:10:03:05.682000,1611306185.682,$GPHDT,51.26,T*35
2021:01:22:10:03:06.182000,1611306186.182,$GPHDT,51.27,T*34
2021:01:22:10:03:06.682000,1611306186.682,$GPHDT,51.29,T*3A
2021:01:22:10:03:07.183000,1611306187.183,$GPHDT,51.29,T*3A
2021:01:22:10:03:07.683000,1611306187.683,$GPHDT,51.29,T*3A
2021:01:22:10:03:08.183000,1611306188.183,$GPHDT,51.28,T*3B
2021:01:22:10:03:09.182000,1611306189.182,$GPHDT,51.16,T*36
2021:01:22:10:03:09.682000,1611306189.682,$GPHDT,51.24,T*37
2021:01:22:10:03:10.183000,1611306190.183,$GPHDT,51.34,T*36
2021:01:22:10:03:10.682000,1611306190.682,$GPHDT,51.32,T*30
2021:01:22:10:03:11.183000,1611306191.183,$GPHDT,51.26,T*35
2021:01:22:10:03:11.682000,1611306191.682,$GPHDT,51.20,T*33
2021:01:22:10:03:12.182000,1611306192.182,$GPHDT,51.17,T*37
2021:01:22:10:03:13.182000,1611306193.182,$GPHDT,51.00,T*31
2021:01:22:10:03:13.682000,1611306193.682,$GPHDT,51.02,T*33
2021:01:22:10:03:14.182000,1611306194.182,$GPHDT,51.04,T*35
2021:01:22:10:03:14.682000,1611306194.682,$GPHDT,50.91,T*38
2021:01:22:10:03:15.681000,1611306195.681,$GPHDT,50.45,T*31
2021:01:22:10:03:16.182000,1611306196.182,$GPHDT,50.35,T*36
2021:01:22:10:03:16.682000,1611306196.682,$GPHDT,50.35,T*36
2021:01:22:10:03:17.182000,1611306197.182,$GPHDT,50.41,T*35
2021:01:22:10:03:17.681000,1611306197.681,$GPHDT,50.47,T*33
2021:01:22:10:03:18.183000,1611306198.183,$GPHDT,50.47,T*33
2021:01:22:10:03:18.682000,1611306198.682,$GPHDT,50.40,T*34
2021:01:22:10:03:19.683000,1611306199.683,$GPHDT,50.30,T*33
2021:01:22:10:03:20.184000,1611306200.184,$GPHDT,50.37,T*34
2021:01:22:10:03:20.683000,1611306200.683,$GPHDT,50.51,T*34
2021:01:22:10:03:21.184000,1611306201.184,$GPHDT,50.62,T*34
2021:01:22:10:03:21.683000,1611306201.683,$GPHDT,50.64,T*32
2021:01:22:10:03:22.183000,1611306202.183,$GPHDT,50.66,T*30
2021:01:22:10:03:22.683000,1611306202.683,$GPHDT,50.68,T*3E
2021:01:22:10:03:23.183000,1611306203.183,$GPHDT,50.64,T*32
2021:01:22:10:03:23.683000,1611306203.683,$GPHDT,50.57,T*32
2021:01:22:10:03:24.183000,1611306204.183,$GPHDT,50.58,T*3D
2021:01:22:10:03:24.682000,1611306204.682,$GPHDT,50.64,T*32
2021:01:22:10:03:25.183000,1611306205.183,$GPHDT,50.64,T*32
2021:01:22:10:03:25.683000,1611306205.683,$GPHDT,50.53,T*36
2021:01:22:10:03:26.183000,1611306206.183,$GPHDT,50.44,T*30
2021:01:22:10:03:26.682000,1611306206.682,$GPHDT,50.43,T*37
2021:01:22:10:03:27.184000,1611306207.184,$GPHDT,50.43,T*37
2021:01:22:10:03:27.682000,1611306207.682,$GPHDT,50.47,T*33
2021:01:22:10:03:28.183000,1611306208.183,$GPHDT,50.50,T*35
2021:01:22:10:03:28.682000,1611306208.682,$GPHDT,50.41,T*35
2021:01:22:10:03:29.183000,1611306209.183,$GPHDT,50.25,T*37
2021:01:22:10:03:29.682000,1611306209.682,$GPHDT,50.17,T*36
2021:01:22:10:03:30.183000,1611306210.183,$GPHDT,50.14,T*35
2021:01:22:10:03:30.682000,1611306210.682,$GPHDT,50.20,T*32
2021:01:22:10:03:31.183000,1611306211.183,$GPHDT,50.38,T*3B
2021:01:22:10:03:31.683000,1611306211.683,$GPHDT,50.54,T*31
2021:01:22:10:03:32.183000,1611306212.183,$GPHDT,50.54,T*31
2021:01:22:10:03:32.683000,1611306212.683,$GPHDT,50.47,T*33
2021:01:22:10:03:33.183000,1611306213.183,$GPHDT,50.42,T*36
2021:01:22:10:03:33.683000,1611306213.683,$GPHDT,50.39,T*3A
2021:01:22:10:03:34.183000,1611306214.183,$GPHDT,50.44,T*30
2021:01:22:10:03:34.683000,1611306214.683,$GPHDT,50.53,T*36
2021:01:22:10:03:35.184000,1611306215.184,$GPHDT,50.62,T*34
2021:01:22:10:03:35.683000,1611306215.683,$GPHDT,50.67,T*31
2021:01:22:10:03:36.683000,1611306216.683,$GPHDT,50.59,T*3C
2021:01:22:10:03:37.184000,1611306217.184,$GPHDT,50.59,T*3C
2021:01:22:10:03:37.683000,1611306217.683,$GPHDT,50.74,T*33
2021:01:22:10:03:38.183000,1611306218.183,$GPHDT,50.92,T*3B
2021:01:22:10:03:38.683000,1611306218.683,$GPHDT,51.07,T*36
2021:01:22:10:03:39.184000,1611306219.184,$GPHDT,51.14,T*34
2021:01:22:10:03:39.683000,1611306219.683,$GPHDT,51.15,T*35
2021:01:22:10:03:40.683000,1611306220.683,$GPHDT,51.29,T*3A
2021:01:22:10:03:41.184000,1611306221.184,$GPHDT,51.41,T*34
2021:01:22:10:03:41.683000,1611306221.683,$GPHDT,51.50,T*34
2021:01:22:10:03:42.184000,1611306222.184,$GPHDT,51.59,T*3D
2021:01:22:10:03:43.184000,1611306223.184,$GPHDT,51.84,T*3D
2021:01:22:10:03:43.683000,1611306223.683,$GPHDT,51.90,T*38
2021:01:22:10:03:44.683000,1611306224.683,$GPHDT,51.90,T*38
