2021:01:22:10:02:58.823000,1611306178.823,$GPGGA,090258.00,6339.698671,N,01047.518694,E,2,12,0.8,12.46,M,40.32,M,7.0,0907*7C
2021:01:22:10:03:00.823000,1611306180.823,$GPGGA,090300.00,6339.702423,N,01047.529191,E,2,12,0.8,12.47,M,40.32,M,9.0,0907*78
2021:01:22:10:03:01.823000,1611306181.823,$GPGGA,090301.00,6339.704295,N,01047.534465,E,2,12,0.8,12.49,M,40.32,M,10.0,0907*40
2021:01:22:10:03:02.823000,1611306182.823,$GPGGA,090302.00,6339.706165,N,01047.539765,E,2,12,0.8,12.48,M,40.32,M,11.0,0907*43
2021:01:22:10:03:03.823000,1611306183.823,$GPGGA,090303.00,6339.708015,N,01047.545064,E,2,12,0.8,12.47,M,40.32,M,12.0,0907*4B
2021:01:22:10:03:05.824000,1611306185.824,$GPGGA,090305.00,6339.711637,N,01047.555767,E,2,12,0.8,12.52,M,40.32,M,9.0,0907*78
2021:01:22:10:03:06.824000,1611306186.824,$GPGGA,090306.00,6339.713512,N,01047.561054,E,2,12,0.8,12.52,M,40.32,M,5.0,0907*71
2021:01:22:10:03:07.824000,1611306187.824,$GPGGA,090307.00,6339.715370,N,01047.566342,E,2,12,0.8,12.49,M,40.32,M,6.0,0907*7E
2021:01:22:10:03:09.824000,1611306189.824,$GPGGA,090309.00,6339.719116,N,01047.576837,E,2,12,0.8,12.50,M,40.32,M,8.0,0907*70
2021:01:22:10:03:10.824000,1611306190.824,$GPGGA,090310.00,6339.720977,N,01047.582169,E,2,12,0.8,12.50,M,40.32,M,9.0,0907*75
2021:01:22:10:03:11.824000,1611306191.824,$GPGGA,090311.00,6339.722853,N,01047.587412,E,2,12,0.8,12.52,M,40.32,M,10.0,0907*47
2021:01:22:10:03:12.824000,1611306192.824,$GPGGA,090312.00,6339.724649,N,01047.592786,E,2,12,0.8,12.51,M,40.32,M,11.0,0907*4F
2021:01:22:10:03:13.823000,1611306193.823,$GPGGA,090313.00,6339.726488,N,01047.598144,E,2,12,0.8,12.52,M,40.32,M,12.0,0907*41
2021:01:22:10:03:14.823000,1611306194.823,$GPGGA,090314.00,6339.728372,N,01047.603451,E,2,12,0.8,12.48,M,40.32,M,8.0,0907*7A
2021:01:22:10:03:15.823000,1611306195.823,$GPGGA,090315.00,6339.730237,N,01047.608673,E,2,12,0.8,12.49,M,40.32,M,9.0,0907*7B
2021:01:22:10:03:16.823000,1611306196.823,$GPGGA,090316.00,6339.732102,N,01047.613940,E,2,12,0.8,12.51,M,40.32,M,5.0,0907*7F
2021:01:22:10:03:17.823000,1611306197.823,$GPGGA,090317.00,6339.734051,N,01047.619183,E,2,12,0.8,12.48,M,40.32,M,6.0,0907*79
2021:01:22:10:03:18.823000,1611306198.823,$GPGGA,090318.00,6339.736015,N,01047.624298,E,2,12,0.8,12.46,M,40.32,M,7.0,0907*7C
2021:01:22:10:03:19.824000,1611306199.824,$GPGGA,090319.00,6339.737858,N,01047.629524,E,2,12,0.8,12.49,M,40.32,M,8.0,0907*70
2021:01:22:10:03:21.824000,1611306201.824,$GPGGA,090321.00,6339.741644,N,01047.640080,E,2,12,0.8,12.46,M,40.32,M,10.0,0907*4B
2021:01:22:10:03:22.824000,1611306202.824,$GPGGA,090322.00,6339.743544,N,01047.645283,E,2,12,0.8,12.48,M,40.32,M,11.0,0907*42
2021:01:22:10:03:23.824000,1611306203.824,$GPGGA,090323.00,6339.745422,N,01047.650555,E,2,12,0.8,12.51,M,40.32,M,12.0,0907*47
2021:01:22:10:03:25.824000,1611306205.824,$GPGGA,090325.00,6339.749183,N,01047.661105,E,2,12,0.8,12.50,M,40.32,M,9.0,0907*7B
2021:01:22:10:03:26.824000,1611306206.824,$GPGGA,090326.00,6339.751080,N,01047.666280,E,2,12,0.8,12.51,M,40.32,M,10.0,0907*43
2021:01:22:10:03:27.824000,1611306207.824,$GPGGA,090327.00,6339.752975,N,01047.671519,E,2,12,0.8,12.47,M,40.32,M,5.0,0907*70
2021:01:22:10:03:29.824000,1611306209.824,$GPGGA,090329.00,6339.756767,N,01047.681981,E,2,12,0.8,12.49,M,40.32,M,7.0,0907*79
2021:01:22:10:03:30.824000,1611306210.824,$GPGGA,090330.00,6339.758619,N,01047.687256,E,2,12,0.8,12.48,M,40.32,M,8.0,0907*7E
2021:01:22:10:03:31.824000,1611306211.824,$GPGGA,090331.00,6339.760535,N,01047.692493,E,2,12,0.8,12.45,M,40.32,M,9.0,0907*7E
2021:01:22:10:03:32.824000,1611306212.824,$GPGGA,090332.00,6339.762466,N,01047.697655,E,2,12,0.8,12.45,M,40.32,M,10.0,0907*4D
2021:01:22:10:03:34.825000,1611306214.825,$GPGGA,090334.00,6339.766273,N,01047.708156,E,2,12,0.8,12.48,M,40.32,M,7.0,0907*75
2021:01:22:10:03:35.825000,1611306215.825,$GPGGA,090335.00,6339.768187,N,01047.713439,E,2,12,0.8,12.45,M,40.32,M,8.0,0907*76
2021:01:22:10:03:36.825000,1611306216.825,$GPGGA,090336.00,6339.770103,N,01047.718646,E,2,12,0.8,12.49,M,40.32,M,9.0,0907*7C
2021:01:22:10:03:37.825000,1611306217.825,$GPGGA,090337.00,6339.771984,N,01047.723903,E,2,12,0.8,12.49,M,40.32,M,10.0,0907*45
2021:01:22:10:03:38.825000,1611306218.825,$GPGGA,090338.00,6339.773857,N,01047.729258,E,2,12,0.8,12.46,M,40.32,M,11.0,0907*46
2021:01:22:10:03:39.825000,1611306219.825,$GPGGA,090339.00,6339.775778,N,01047.734514,E,2,12,0.8,12.45,M,40.32,M,12.0,0907*40
2021:01:22:10:03:41.825000,1611306221.825,$GPGGA,090341.00,6339.779544,N,01047.745006,E,2,12,0.8,12.48,M,40.32,M,9.0,0907*79
2021:01:22:10:03:42.824000,1611306222.824,$GPGGA,090342.00,6339.781429,N,01047.750293,E,2,12,0.8,12.47,M,40.32,M,10.0,0907*4A
2021:01:22:10:03:43.824000,1611306223.824,$GPGGA,090343.00,6339.783258,N,01047.755617,E,2,12,0.8,12.47,M,40.32,M,6.0,0907*73
2021:01:22:10:03:44.824000,1611306224.824,$GPGGA,090344.00,6339.785082,N,01047.760999,E,2,12,0.8,12.48,M,40.32,M,7.0,0907*76
2021:01:22:10:03:46.824000,1611306226.824,$GPGGA,090346.00,6339.788718,N,01047.771779,E,2,12,0.8,12.49,M,40.32,M,9.0,0907*72
2021:01:22:10:03:47.824000,1611306227.824,$GPGGA,090347.00,6339.790544,N,01047.777127,E,2,12,0.8,12.51,M,40.32,M,10.0,0907*4B
2021:01:22:10:03:48.824000,1611306228.824,$GPGGA,090348.00,6339.792327,N,01047.782542,E,2,12,0.8,12.48,M,40.31,M,11.0,0907*42
2021:01:22:10:03:50.825000,1611306230.825,$GPGGA,090350.00,6339.796044,N,01047.793209,E,2,12,0.8,12.50,M,40.31,M,13.0,0907*4A
2021:01:22:10:03:51.825000,1611306231.825,$GPGGA,090351.00,6339.797879,N,01047.798482,E,2,12,0.8,12.49,M,40.31,M,8.0,0907*70
2021:01:22:10:03:52.825000,1611306232.825,$GPGGA,090352.00,6339.799717,N,01047.803850,E,2,12,0.8,12.50,M,40.31,M,9.0,0907*7D
2021:01:22:10:03:54.825000,1611306234.825,$GPGGA,090354.00,6339.803395,N,01047.814542,E,2,12,0.8,12.47,M,40.31,M,6.0,0907*78
2021:01:22:10:03:55.825000,1611306235.825,$GPGGA,090355.00,6339.805193,N,01047.819914,E,2,12,0.8,12.54,M,40.31,M,7.0,0907*7A
2021:01:22:10:03:56.825000,1611306236.825,$GPGGA,090356.00,6339.806994,N,01047.825283,E,2,12,0.8,12.55,M,40.31,M,8.0,0907*71
2021:01:22:10:03:57.825000,1611306237.825,$GPGGA,090357.00,6339.808886,N,01047.830625,E,2,12,0.8,12.50,M,40.31,M,4.0,0907*79
2021:01:22:10:03:58.825000,1611306238.825,$GPGGA,090358.00,6339.810802,N,01047.835872,E,2,12,0.8,12.47,M,40.31,M,5.0,0907*7D
2021:01:22:10:03:59.825000,1611306239.825,$GPGGA,090359.00,6339.812628,N,01047.841133,E,2,12,0.8,12.52,M,40.31,M,6.0,0907*70
2021:01:22:10:04:00.825000,1611306240.825,$GPGGA,090400.00,6339.814516,N,01047.846403,E,2,12,0.8,12.50,M,40.31,M,7.0,0907*71
2021:01:22:10:04:01.825000,1611306241.825,$GPGGA,090401.00,6339.816479,N,01047.851593,E,2,12,0.8,12.49,M,40.31,M,8.0,0907*73
2021:01:22:10:04:02.825000,1611306242.825,$GPGGA,090402.00,6339.818410,N,01047.856733,E,2,12,0.8,12.51,M,40.31,M,9.0,0907*76
2021:01:22:10:04:03.825000,1611306243.825,$GPGGA,090403.00,6339.820287,N,01047.862002,E,2,12,0.8,12.52,M,40.31,M,10.0,0907*4D
2021:01:22:10:04:04.826000,1611306244.826,$GPGGA,090404.00,6339.822197,N,01047.867250,E,2,12,0.8,12.50,M,40.31,M,11.0,0907*49
2021:01:22:10:04:06.826000,1611306246.826,$GPGGA,090406.00,6339.825953,N,01047.877729,E,2,12,0.8,12.51,M,40.31,M,7.0,0907*70
2021:01:22:10:04:07.826000,1611306247.826,$GPGGA,090407.00,6339.827854,N,01047.883030,E,2,12,0.8,12.47,M,40.31,M,8.0,0907*79
2021:01:22:10:04:08.826000,1611306248.826,$GPGGA,090408.00,6339.829756,N,01047.888230,E,2,12,0.8,12.51,M,40.31,M,9.0,0907*7A
2021:01:22:10:04:11.826000,1611306251.826,$GPGGA,090411.00,6339.835478,N,01047.903876,E,2,12,0.8,12.52,M,40.31,M,7.0,0907*77
2021:01:22:10:04:12.825000,1611306252.825,$GPGGA,090412.00,6339.837357,N,01047.909131,E,2,12,0.8,12.52,M,40.31,M,8.0,0907*73
2021:01:22:10:04:15.825000,1611306255.825,$GPGGA,090415.00,6339.842921,N,01047.925147,E,2,12,0.8,12.55,M,40.31,M,11.0,0907*4D
2021:01:22:10:04:16.825000,1611306256.825,$GPGGA,090416.00,6339.844794,N,01047.930532,E,2,12,0.8,12.50,M,40.31,M,12.0,0907*4C
2021:01:22:10:04:17.825000,1611306257.825,$GPGGA,090417.00,6339.846697,N,01047.935766,E,2,12,0.8,12.53,M,40.31,M,7.0,0907*7C
2021:01:22:10:04:19.826000,1611306259.826,$GPGGA,090419.00,6339.850376,N,01047.946468,E,2,12,0.8,12.53,M,40.31,M,9.0,0907*78
2021:01:22:10:04:20.826000,1611306260.826,$GPGGA,090420.00,6339.852218,N,01047.951836,E,2,12,0.8,12.52,M,40.31,M,5.0,0907*75
2021:01:22:10:04:21.826000,1611306261.826,$GPGGA,090421.00,6339.854064,N,01047.957155,E,2,12,0.8,12.56,M,40.31,M,6.0,0907*76
2021:01:22:10:04:22.826000,1611306262.826,$GPGGA,090422.00,6339.855913,N,01047.962525,E,2,12,0.8,12.56,M,40.31,M,7.0,0907*79
2021:01:22:10:04:23.826000,1611306263.826,$GPGGA,090423.00,6339.857819,N,01047.967879,E,2,12,0.8,12.53,M,40.31,M,8.0,0907*7A
2021:01:22:10:04:24.826000,1611306264.826,$GPGGA,090424.00,6339.859710,N,01047.973187,E,2,12,0.8,12.51,M,40.31,M,9.0,0907*7B
2021:01:22:10:04:25.826000,1611306265.826,$GPGGA,090425.00,6339.861577,N,01047.978456,E,2,12,0.8,12.54,M,40.31,M,10.0,0907*4D
2021:01:22:10:04:26.826000,1611306266.826,$GPGGA,090426.00,6339.863495,N,01047.983707,E,2,12,0.8,12.54,M,40.31,M,11.0,0907*43
2021:01:22:10:04:27.826000,1611306267.826,$GPGGA,090427.00,6339.865504,N,01047.988902,E,2,12,0.8,12.51,M,40.31,M,12.0,0907*4B
2021:01:22:10:04:28.826000,1611306268.826,$GPGGA,090428.00,6339.867435,N,01047.994126,E,2,12,0.8,12.51,M,40.31,M,8.0,0907*7D
2021:01:22:10:04:29.826000,1611306269.826,$GPGGA,090429.00,6339.869302,N,01047.999459,E,2,12,0.8,12.51,M,40.31,M,9.0,0907*70
2021:01:22:10:04:31.826000,1611306271.826,$GPGGA,090431.00,6339.873070,N,01048.010146,E,2,12,0.8,12.51,M,40.31,M,6.0,0907*77
2021:01:22:10:04:32.826000,1611306272.826,$GPGGA,090432.00,6339.874961,N,01048.015437,E,2,12,0.8,12.49,M,40.31,M,7.0,0907*74
2021:01:22:10:04:33.826000,1611306273.826,$GPGGA,090433.00,6339.876872,N,01048.020717,E,2,12,0.8,12.48,M,40.31,M,8.0,0907*7D
