2021:01:22:11:17:52.205000,1611310672.205,597793.8200,7066363.7168,-12.4920,63.71134429,10.97922546,0.00,0.000, 0.00, 0.00,1.7745
2021:01:22:11:17:52.205000,1611310672.205,597793.8200,7066363.7168,-12.4920,63.71134429,10.97922546,0.10,0.000, 0.00, 0.00,1.7745
2021:01:22:11:17:52.205000,1611310672.205,597793.8200,7066363.7168,-12.4920,63.71134429,10.97922546,0.10,0.000, 0.00, 0.00,1.7745
2021:01:22:11:17:52.205000,1611310672.205,597793.8200,7066363.7168,-12.4920,63.71134429,10.97922546,0.10,0.000, 0.00, 0.00,1.7745
2021:01:22:11:17:52.205000,1611310672.205,597793.8200,7066363.7168,-12.4920,63.71134429,10.97922546,0.10,0.000, 0.00, 0.00,1.7745
2021:01:22:11:19:13.526000,1611310753.526,597795.2421,7066363.8584,-12.3580,63.71134516,10.97925431,0.10,0.000, 0.00, 0.00,1.7745
2021:01:22:11:19:14.478000,1611310754.478,597794.6565,7066364.4495,-12.1700,63.71135063,10.97924283,0.10,0.000, 0.00, 0.00,1.7745
2021:01:22:11:19:15.600000,1611310755.6,597796.6215,7066369.1444,-72.3770,63.71139219,10.97928552,0.17,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:15.600000,1611310755.6,597796.6215,7066369.1444,-72.3770,63.71139219,10.97928552,0.17,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:15.600000,1611310755.6,597796.6215,7066369.1444,-72.3770,63.71139219,10.97928552,0.17,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:15.600000,1611310755.6,597796.6215,7066369.1444,-72.3770,63.71139219,10.97928552,0.17,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:15.600000,1611310755.6,597796.6215,7066369.1444,-72.3770,63.71139219,10.97928552,0.17,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:42.308000,1611310782.308,597801.8135,7066370.4187,-5.1320,63.71140217,10.97939132,0.17,0.000, 0.00, 0.00,1.7747
2021:01:22:11:19:43.320000,1611310783.32,597796.3666,7066362.4854,-13.3370,63.71133253,10.97927619,0.10,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:43.320000,1611310783.32,597796.3666,7066362.4854,-13.3370,63.71133253,10.97927619,0.10,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:43.320000,1611310783.32,597796.3666,7066362.4854,-13.3370,63.71133253,10.97927619,0.10,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:43.320000,1611310783.32,597796.3666,7066362.4854,-13.3370,63.71133253,10.97927619,0.10,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:43.320000,1611310783.32,597796.3666,7066362.4854,-13.3370,63.71133253,10.97927619,0.10,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:50.753000,1611310790.753,597797.6159,7066361.6960,-4.8860,63.71132511,10.97930096,0.10,0.000, 0.00, 0.00,1.7746
2021:01:22:11:19:51.763000,1611310791.763,597801.7266,7066369.1111,-2.2520,63.71139047,10.97938874,0.10,0.000, 0.00, 0.00,1.7747
2021:01:22:11:19:51.763000,1611310791.763,597801.7266,7066369.1111,-2.2520,63.71139047,10.97938874,0.10,0.000, 0.00, 0.00,1.7747
2021:01:22:11:19:51.763000,1611310791.763,597801.7266,7066369.1111,-2.2520,63.71139047,10.97938874,0.10,0.000, 0.00, 0.00,1.7747
2021:01:22:11:19:51.763000,1611310791.763,597801.7266,7066369.1111,-2.2520,63.71139047,10.97938874,0.10,0.000, 0.00, 0.00,1.7747
2021:01:22:11:19:51.763000,1611310791.763,597801.7266,7066369.1111,-2.2520,63.71139047,10.97938874,0.10,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:12.096000,1611310812.096,597802.4446,7066368.6879,-2.3850,63.71138648,10.97940300,0.10,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:13.102000,1611310813.102,597802.4129,7066369.1574,-2.4950,63.71139070,10.97940265,0.11,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:14.110000,1611310814.11,597802.7195,7066369.5272,-2.8040,63.71139393,10.97940908,0.11,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:15.129000,1611310815.129,597802.4050,7066369.6047,-2.5580,63.71139471,10.97940277,0.11,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:16.084000,1611310816.084,597802.3660,7066370.1947,-2.3260,63.71140001,10.97940235,0.09,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:17.168000,1611310817.168,597802.6741,7066370.7941,-2.1110,63.71140530,10.97940896,0.10,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:18.177000,1611310818.177,597802.7990,7066371.0434,-2.0510,63.71140750,10.97941164,0.09,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:19.183000,1611310819.183,597803.1973,7066371.8468,-1.6500,63.71141460,10.97942020,0.12,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:19.183000,1611310819.183,597803.1957,7066371.8375,-1.6500,63.71141452,10.97942016,0.12,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:20.199000,1611310820.199,597803.5955,7066371.6603,-1.8740,63.71141281,10.97942814,0.09,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:21.207000,1611310821.207,597804.1720,7066371.8049,-2.0160,63.71141395,10.97943989,0.09,0.000, 0.00, 0.00,1.7747
2021:01:22:11:20:22.214000,1611310822.214,597804.5746,7066371.7802,-2.4780,63.71141362,10.97944801,0.10,0.000, 0.00, 0.00,1.7747
