2021:01:22:10:02:21.144000,1611306141.144,$PSIMSNS,100518.339,B12,1,1,-0.54,-0.46,-0.03,51.85,1,0.004,M121
2021:01:22:10:02:21.144000,1611306141.144,$PSIMSSB,100518.339,B12,V,NRy,C,H,M,T,0.013280
2021:01:22:10:02:24.392000,1611306144.392,$PSIMSNS,100521.588,B12,1,1,-0.71,-0.31,-0.01,51.61,1,0.003,M121
2021:01:22:10:02:24.392000,1611306144.392,$PSIMSSB,100521.588,B12,V,NRy,C,H,M,T,0.013280
2021:01:22:10:02:27.569000,1611306147.569,$PSIMSNS,100524.762,B12,1,1,-0.14,-0.41,-0.01,51.18,1,0.008,M121
2021:01:22:10:02:27.570000,1611306147.57,$PSIMSSB,100524.762,B12,V,NRy,C,H,M,T,0.013280
2021:01:22:10:02:30.818000,1611306150.818,$PSIMSNS,100528.013,B12,1,1,-0.90,-0.39,0.00,51.25,1,0.005,M121
2021:01:22:10:02:30.818000,1611306150.818,$PSIMSSB,100528.013,B12,V,NRy,C,H,M,T,0.013280
2021:01:22:10:02:33.989000,1611306153.989,$PSIMSNS,100531.183,B12,1,1,-0.85,-0.34,0.01,51.46,1,0.007,M121
2021:01:22:10:02:33.989000,1611306153.989,$PSIMSSB,100531.183,B12,V,NRy,C,H,M,T,0.013280
2021:01:22:10:02:37.240000,1611306157.24,$PSIMSNS,100534.434,B12,1,1,-0.59,-0.35,0.00,51.89,1,0.005,M121
2021:01:22:10:02:37.240000,1611306157.24,$PSIMSSB,100534.434,B12,V,NRy,C,H,M,T,0.013280
2021:01:22:10:02:40.403000,1611306160.403,$PSIMSNS,100537.601,B12,1,1,-0.49,-0.36,0.00,51.81,1,0.003,M121
2021:01:22:10:02:40.404000,1611306160.404,$PSIMSSB,100537.601,B12,V,NRy,C,H,M,T,0.013280
2021:01:22:10:02:43.654000,1611306163.654,$PSIMSNS,100540.849,B12,1,1,-0.60,-0.34,0.04,51.48,1,0.006,M121
2021:01:22:10:02:43.654000,1611306163.654,$PSIMSSB,100540.849,B12,V,NRy,C,H,M,T,0.013280
2021:01:22:10:02:46.906000,1611306166.906,$PSIMSNS,100544.098,B12,1,1,-0.12,-0.30,0.02,51.05,1,0.009,M121
